"","Feature_1_vertexD","Feature_2_vertexD","Feature_edgeD","pcor_coefficient","pcor_pvalue","cor_coefficient","cor_pvalue","cdgo_pvalue","cdgo2_pvalue","pcor_LF1_edge__LF2","pcor_pvalue_LF1_edge__LF2","pcor_LF2_edge__LF1","pcor_pvalue_LF2_edge__LF1","cdgo_adjusted","cdgo2_adjusted"
"1","C3","Asn","Rapgef4",-0.364454434767521,0.421541932281389,0.787712424710999,0.0202710434913034,0,7.73603403558809e-13,0.843634655385531,0.0170380837950007,0.758630238199593,0.0480356448384641,0,7.49770694064011e-06
"2","C3","Phe","Rapgef4",-0.884395428696428,0.00819314902267961,0.735970778544091,0.0373838917892497,0,0,0.969554969570335,0.00030557973989987,0.962555391698749,0.000510692139452682,0,0
"3","C3","Pro","Rapgef4",-0.448129889679932,0.313260432807496,0.82588039889055,0.0115338296805534,0,0,0.826351114032657,0.0219274994223894,0.844091223395517,0.0169183528683285,0,0
"4","C3","Thr","Rapgef4",-0.553060976952226,0.197836254073079,0.735219953891455,0.0376803578649434,0,4.37871960912162e-13,0.899665147613215,0.00579870682783408,0.819304146135536,0.0241231978812045,0,4.24390321107637e-06
"5","C3","Trp","Rapgef4",-0.618483927164706,0.138730472463741,0.755623018825381,0.0301252165952648,0,0,0.904667179000493,0.00511695517898941,0.863291640106631,0.0123131915667277,0,0
"6","C3","Val","Rapgef4",-0.708643375653699,0.0746675439780875,0.730480826989732,0.0395846583206836,0,0,0.930234340561729,0.00237755396441852,0.89203268795423,0.00693571535822332,0,0
"7","C3","t4.OH.Pro","Rapgef4",0.186978700126795,0.688094630501228,0.906951865487111,0.00187608171417919,5.38902256153051e-12,1.66533453693773e-14,0.560208709086661,0.190879007904908,0.666273832928076,0.102215826525235,5.41771910667066e-05,1.61421959132823e-07
"8","Phe","t4.OH.Pro","Rapgef4",0.184677275053853,0.691801029812027,0.8943956295314,0.00271604981350926,2.78598122349649e-09,2.12052597703405e-13,0.503477953171338,0.249348361420204,0.711585078729432,0.0729244301898918,0.0279974397074056,2.05528460250903e-06
"9","Pro","t4.OH.Pro","Rapgef4",0.302055128996135,0.510284119056083,0.924334103338752,0.00102249894478201,1.18955956196487e-11,7.11208869574875e-13,0.534943063092417,0.216006405604235,0.601556488625616,0.15302731573367,0.000119584983397258,6.89300293710282e-06
"10","Asn","lysoPC.a.C16.0","Rapgef4",-0.31189396756024,0.495885794327262,0.785000604231835,0.021011638735374,1.05646602577281e-11,5.55111512312578e-15,0.750352730429281,0.05200827346129,0.815707191419947,0.0252896682301107,0.000106205811174043,5.38088351653698e-08
"11","Phe","lysoPC.a.C16.0","Rapgef4",-0.484753668232955,0.270236036434482,0.779646730047396,0.0225226807167207,0,0,0.835685325917057,0.0192001287627356,0.849989198657374,0.0154147175025645,0,0
"12","Pro","lysoPC.a.C16.0","Rapgef4",-0.414170690809786,0.355602409463414,0.81874239057291,0.0129372211699876,0,0,0.844137845916323,0.0169061535692356,0.801558330878132,0.0301809786222693,0,0
"13","Thr","lysoPC.a.C16.0","Rapgef4",-0.265685814186471,0.56470704741186,0.772461166933542,0.0246541558278495,4.7122299395852e-09,2.5157653738006e-13,0.706077101378763,0.0762061933817096,0.819858551547793,0.0239461642685095,0.0473531421161324,2.43835225433031e-06
"14","Trp","lysoPC.a.C16.0","Rapgef4",-0.197480993101289,0.671244677503839,0.808861752301897,0.0150505977186355,5.45554712516605e-11,2.02060590481779e-13,0.712779237543287,0.0722231162560972,0.777554418588457,0.039600028244187,0.000548393942906955,1.95844156003489e-06
"15","Val","lysoPC.a.C16.0","Rapgef4",-0.714018683645096,0.0714990456830884,0.715003756943508,0.0462059238429884,0,0,0.898925369345395,0.00590376129647224,0.925922573345336,0.00275557645443036,0,0
"16","t4.OH.Pro","lysoPC.a.C16.0","Rapgef4",-0.148116744091576,0.751298340372458,0.859657668787709,0.00620349096967132,0,3.99680288865056e-15,0.785389676755817,0.0363690350146137,0.683290511660731,0.0906035349046088,0,3.87427130377204e-08
"17","C3","PC.aa.C38.1","Rapgef4",-0.00670057771649048,0.988625001331613,0.858762372084559,0.00631850999431727,3.27737836869346e-13,5.14459586042904e-11,0.72072917649841,0.0676467536268027,0.64234294466446,0.119785026392564,3.29518665953543e-06,0.000498518438417861
"18","Phe","PC.aa.C38.1","Rapgef4",-0.311203279896502,0.496891838457756,0.797529450037665,0.0177269528326711,2.02060590481779e-14,1.86517468137026e-14,0.785053400528717,0.036504575581682,0.785690476758507,0.0362480308488423,2.03175742674589e-07,1.80792165238586e-07
"19","Pro","PC.aa.C38.1","Rapgef4",-0.246286811386743,0.594454972535539,0.832767483796798,0.0102749025163278,0,9.99200722162641e-15,0.805897321392329,0.0286293615709872,0.726203076123835,0.0645892100602501,0,9.68545244006691e-08
"20","Trp","PC.aa.C38.1","Rapgef4",-0.338952774997897,0.457053129931554,0.778322427729732,0.0229065457964424,1.58384416693025e-12,3.08642000845794e-14,0.776282659218113,0.0401388565664613,0.808548015378928,0.027704001308245,1.59235859640283e-05,2.99163944506021e-07
"21","t4.OH.Pro","PC.aa.C38.1","Rapgef4",-0.218213743554518,0.638305414479452,0.843982532507562,0.00841794489973369,0,1.04360964314765e-14,0.813344703440956,0.0260727170754135,0.699634209808456,0.0801430312493407,0,1.01159044696431e-07
"22","lysoPC.a.C16.0","PC.aa.C38.1","Rapgef4",-0.228678002419912,0.621854647887028,0.817872347637443,0.0131152751509596,1.33226762955019e-14,1.49436019114546e-13,0.769933560159415,0.0428892503931094,0.747377369722188,0.053478499008173,1.33963280468663e-07,1.44840189064688e-06
"23","Phe","H1","Rapgef4",-0.583177178332357,0.169344080073482,0.707308698895836,0.0497306679041039,0,5.28466159721575e-13,0.892086250352197,0.00692732292551687,0.845200362433694,0.0166294916754904,0,5.12191463020174e-06
"24","PC.aa.C30.2","PC.ae.C30.0","Tap1",-0.245455421441528,0.595740352790328,0.799540564652603,0.0172318708681809,5.55586687767118e-11,1.04360964314765e-14,0.717266865198413,0.0696200494476218,0.804035342450309,0.0292895867926341,0.000558477571979577,1.01159044696431e-07
"25","Ile","Orn","Agpat2",0.532295465496625,0.218725271271559,0.899376340664955,0.00235871378939168,3.95562471666722e-10,0,-0.382737750849307,0.396770198138098,-0.495243284253225,0.258439920939326,0.00397574025503889,0
"26","Asn","His","Fbl",-0.637324431407859,0.123652056559092,0.710843302925309,0.0480922459862414,0,3.28626015289046e-14,0.915081205756521,0.00385402671805745,0.857589770857141,0.0135938714652044,0,3.18533516008301e-07
"27","Orn","Val","Fbl",0.201490790859379,0.664839714075638,0.910658955936392,0.00166543997977153,8.33999536098418e-13,7.105427357601e-14,0.586113053867326,0.166682661641565,0.631907734562023,0.127896593417724,8.38503133593349e-06,6.88705981133353e-07
"28","Leu","alpha.AAA","Fbl",-0.155934622840593,0.738483837594675,0.801379454575404,0.0167868446405626,2.69043454181883e-10,3.21766835398307e-10,0.730348701712267,0.0623242994806629,0.727639272006347,0.0637996169077724,0.00270418050997989,0.00311766032563976
"29","Val","alpha.AAA","Fbl",-0.0373903076980902,0.936568603561335,0.854581212640082,0.00687371464019071,6.66133814775094e-16,2.6271385067389e-10,0.777340330162141,0.0396904527739187,0.60090283975214,0.153593500347779,6.69865629632227e-09,0.00254551646590073
"30","Asn","PC.aa.C38.1","Smim13",-0.492434289609908,0.26157528714628,0.814741421509756,0.0137687737770056,2.97539770599542e-14,0,0.703412019936726,0.0778218354805509,0.952019395121777,0.000943762513065301,2.99178738671913e-07,0
"31","Leu","PC.aa.C38.1","Smim13",-0.507526187068295,0.244933852286543,0.754089929887782,0.030657194181217,4.64053928617147e-09,0,0.680167887376986,0.0926793934186359,0.96356404131556,0.000477253487156877,0.0466327885678157,0
"32","Pro","PC.aa.C38.1","Smim13",-0.302728737825951,0.509293774338529,0.832767483796798,0.0102749025163278,2.49709142252641e-11,0,0.578018474770629,0.174070871534511,0.936380175017595,0.00189439456771009,0.000251019840569411,0
"33","Thr","PC.aa.C38.1","Smim13",-0.309929495657465,0.498749094827499,0.832887339816017,0.0102538048504983,1.61024527045583e-11,0,0.583759592687059,0.168814456920891,0.936656946171209,0.00187414235263723,0.000161873416147262,0
"34","Val","PC.aa.C38.1","Smim13",-0.494151876707002,0.259656086815368,0.808799040393715,0.015064657697387,1.53876911213047e-13,0,0.7006644163182,0.0795064390547236,0.953497415193008,0.000873455256688959,1.54716786782139e-06,0
"35","alpha.AAA","PC.aa.C38.1","Smim13",-0.580495079789717,0.17179362435108,0.797333857902743,0.0177755712272096,9.10382880192628e-15,0,0.753708283957666,0.0503770129331786,0.961425177309589,0.000549767905769836,9.15423761238543e-08,0
"36","t4.OH.Pro","PC.aa.C38.1","Smim13",-0.145205153697766,0.756082587858894,0.843982532507562,0.00841794489973369,4.89560481042872e-09,0,0.460741394703319,0.298127661433876,0.926585418720249,0.00269532882000652,0.0491956928553625,0
"37","PC.aa.C40.5","PC.ae.C40.5","Celf1",0.58167671738241,0.170712305520868,0.862803712011752,0.00580997135905692,4.90987961399014e-09,4.47152248561622e-09,-0.388269562637615,0.389392767943907,-0.388688749894552,0.388835988924799,0.0493391347470062,0.0433170915629722
"38","Asp","PC.aa.C42.4","Nagk",0.035727807915078,0.939385293393778,0.87225296391457,0.0047252657871566,2.01800798294016e-11,7.105427357601e-14,0.623183656287305,0.134886563291722,0.711672574690674,0.0728729216763664,0.000202862391573522,6.88705981133353e-07
"39","Asp","PC.ae.C30.0","Nagk",-0.315469157497457,0.490689772760853,0.841479316901547,0.00881214447336776,0,0,0.740375676504102,0.0570266413694784,0.840284807323062,0.0179312839795381,0,0
"40","PC.aa.C42.4","PC.ae.C30.0","Nagk",-0.242619458941266,0.60013121199187,0.867444610801178,0.00525926783087671,0,0,0.742058538481457,0.0561625092250435,0.798587738205534,0.0312697463708761,0,0
"41","C12","C14.2","Inhbe",-0.104027103042971,0.82435211269802,0.83103156199383,0.010583558781273,9.68558566682987e-13,9.39812672129392e-11,0.745908511538356,0.054212563987371,0.682100014529462,0.0913920322430467,9.73783359015102e-06,0.000910663536271894
"42","C10","C16.OH","Inhbe",-0.486870056798934,0.26783680107406,0.743468417052576,0.0345013212034591,9.26108079113419e-11,0,0.764609032346314,0.0452735527653187,0.904292615740303,0.00516629311052555,0.000930899206649904,0
"43","C12","C16.OH","Inhbe",0.00467825833183391,0.99205802889862,0.877628632138428,0.0041710364915839,4.87609952415369e-13,2.22044604925031e-16,0.629393078948562,0.129891970179196,0.731450328158025,0.0617297845933039,4.90252213225517e-06,2.15252127233611e-09
"44","C14","C16.OH","Inhbe",0.520610451946304,0.230916334446814,0.952257367844799,0.000262407984354507,1.5088930105378e-10,3.00391400642752e-09,0.532781848036877,0.218224588633326,0.405466605072096,0.366817200114606,0.00151665475618401,0.0291009035713356
"45","C12","C16.1","Inhbe",0.112677305603489,0.809925055103827,0.872076751904305,0.00474419033548257,2.31311858556182e-10,1.06007602695968e-09,0.654196881726521,0.110901924808313,0.619338410452296,0.138027519503759,0.00232495967091317,0.0102705063043098
"46","C12","C16.1.OH","Inhbe",-0.03614489107791,0.938678602207883,0.848246100375746,0.00777272644602101,3.61288776673518e-12,4.56632509582278e-11,0.711301549278653,0.0730914767447016,0.671746433735461,0.0984011951720824,3.6321860067412e-05,0.000442486171425172
"47","C14.1","C14.2.OH","Tmem230",-0.274470882509797,0.551394843141977,0.794206162183798,0.0185643786070737,1.77635683940025e-15,4.38629133014956e-11,0.816997533535866,0.0248676490671909,0.72313167108613,0.0662954126605781,1.78626784475e-08,0.000425041367458245
"48","C14.2","C14.2.OH","Tmem230",-0.457468400539064,0.302023427699032,0.709690317935524,0.0486230685280931,6.48803233360695e-11,7.84505793660628e-12,0.817775653513607,0.0246150885325952,0.834566505412805,0.0195162378368854,0.000652173052474447,7.60265349142308e-05
"49","C14.2.OH","C16.2","Tmem230",-0.11415756256671,0.80746042553046,0.849016385809449,0.00765963580652418,1.83879800275122e-10,0,0.571392818428233,0.180235536236787,0.847347568772755,0.0160783168999863,0.00184823563350034,0
"50","PC.aa.C42.0","SM.C18.1","Nap1l4",-0.430226260441175,0.335298971810403,0.715910620157481,0.0458007903053876,5.71942493365896e-12,3.04972491704802e-10,0.834195906286,0.0196215920952687,0.79981675340111,0.0308166771749008,5.74986199732841e-05,0.002954945566076
