"from","to","weightreal","Genes","PcorValues","CorValues","PcorAverage","CorAverage","PcorLink1edge","PcorLink1edge_pvalue","PcorLink2edge","PcorLink2edge_pvalue","type","weight","Vertex1_Class","Vertex2_Class"
"Ac.Orn","lysoPC.a.C16.0",1,"Eif6","-0.5063138296675","0.743707013970674",-0.5063138296675,0.743707013970674,"0.850354902711384","0.00367552798494449","0.842982811659813","0.00431641843367113","hyperlink",0.166666666666667,"BA","LPC"
"Ac.Orn","lysoPC.a.C18.2",2,"Gm4553;Eif6","-0.0518616626999503;-0.217762482829654","0.794372784895015;0.794372784895015",-0.134812072764802,0.794372784895015,"0.684388832067765;0.755245009419128","0.0419976933568781;0.0186195686284421","0.689075231765865;0.746810137281852","0.0400600183266935;0.0207761296001933","hyperlink",0.333333333333333,"BA","LPC"
"Asn","lysoPC.a.C17.0",2,"Kat7;Fndc3b","-0.474952436779922;-0.262648150236898","0.736823915396216;0.736823915396216",-0.36880029350841,0.736823915396216,"0.758331600365379;0.770961803741901","0.0178691994445978;0.0150083329476429","0.901036711764224;0.74601443821288","0.00091023527748502;0.0209877057795204","hyperlink",0.333333333333333,"AA","LPC"
"Asp","lysoPC.a.C17.0",1,"Qsox1","-0.41765106733073","0.712125507483226",-0.41765106733073,0.712125507483226,"0.776778110852247","0.0138007858325617","0.845743142408168","0.00406815943789126","hyperlink",0.166666666666667,"AA","LPC"
"C0","lysoPC.a.C20.4",2,"Gm11168;Pcsk7","0.155175807098363;0.383209959061717","0.936143803180084;0.936143803180084",0.26919288308004,0.936143803180084,"0.4415475319647;0.472439100189383","0.234112573125173;0.199077406180805","0.797141530104291;0.593918166396446","0.0100879667881678;0.0917407251872942","hyperlink",0.333333333333333,"ACC","LPC"
"C10.2","C14.1",1,"Lrp5","-0.879266600299349","-0.66749204141647",-0.879266600299349,-0.66749204141647,"-0.798652902738123","0.00984292115682995","-0.797473551587333","0.0100337858684479","hyperlink",0.166666666666667,"ACC","ACC"
"C10.2","C16.2.OH",1,"Arhgef15","-0.856031728414249","-0.702604123440453",-0.856031728414249,-0.702604123440453,"-0.718324707314579","0.0292641396841229","-0.718203948460349","0.0293042520818919","hyperlink",0.166666666666667,"ACC","ACC"
"C12.1","C14.2",1,"Erap1","0.651130504939182","0.819704407783327",0.651130504939182,0.819704407783327,"-0.302945069823483","0.428117393548886","-0.30578502967784","0.423580139337814","hyperlink",0.166666666666667,"ACC","ACC"
"C12.1","PC.ae.C44.4",1,"Ssfa2","-0.411236160628227","0.683417912961119",-0.411236160628227,0.683417912961119,"0.743027558741601","0.021794627255859","0.863705290339013","0.00268668805425368","hyperlink",0.166666666666667,"ACC","PC"
"C12.DC","His",1,"Ahdc1","-0.493812833669751","0.659381520975382",-0.493812833669751,0.659381520975382,"0.756550320870257","0.0182997357069853","0.900527962430142","0.000926243344180799","hyperlink",0.166666666666667,"ACC","AA"
"C12.DC","lysoPC.a.C24.0",1,"Trmt12","-0.44312619649507","0.651656698093252",-0.44312619649507,0.651656698093252,"0.81275707332603","0.00774696511746432","0.815538553394398","0.00737292594819125","hyperlink",0.166666666666667,"ACC","LPC"
