"from","to","weightreal","Genes","PcorValues","CorValues","PcorAverage","CorAverage","PcorLink1edge","PcorLink1edge_pvalue","PcorLink2edge","PcorLink2edge_pvalue","type","weight","Vertex1_Class","Vertex2_Class"
"Ala","lysoPC.a.C16.0",1,"Gm19426","0.0657501137730056","0.879477408150347",0.0657501137730056,0.879477408150347,"0.721048937224167","0.0674660492869161","0.590722624184167","0.162546091260485","hyperlink",0.2,"AA","LPC"
"Ala","lysoPC.a.C18.0",1,"Lzic","0.228812073558072","0.926166356597117",0.228812073558072,0.926166356597117,"0.772811813355202","0.0416299322604104","0.400748301081161","0.372956434889322","hyperlink",0.2,"AA","LPC"
"Ala","lysoPC.a.C20.3",1,"Lzic","-0.395229433046103","0.777050705850696",-0.395229433046103,0.777050705850696,"0.933418231234857","0.00211920429394212","0.650320697959857","0.113767779677669","hyperlink",0.2,"AA","LPC"
"Ala","PC.aa.C32.0",3,"Plekha4;Cmtm3;Tcf7","-0.178872241835008;-0.0836489779184383;-0.319916624535899","0.832895421359499;0.832895421359499;0.832895421359499",-0.194145948096448,0.832895421359499,"0.536557324850073;0.780144131689892;0.608788718724212","0.214356606134313;0.0385152466987983;0.146832723451223","0.901172249937136;0.627344896435626;0.928508394376654","0.00558806996773083;0.131528841482034;0.00252494714184434","hyperlink",0.6,"AA","PC"
"Ala","PC.aa.C36.1",1,"Lzic","-0.508457414700798","0.794653719284162",-0.508457414700798,0.794653719284162,"0.937223402176481","0.00183309176450012","0.741049739592197","0.0566796554031083","hyperlink",0.2,"AA","PC"
"Ala","PC.aa.C38.1",1,"Tom1l1","-0.150304109702191","0.888159997020345",-0.150304109702191,0.888159997020345,"0.621051669015591","0.136623530956238","0.84370384917702","0.0170199074267885","hyperlink",0.2,"AA","PC"
"Ala","PC.aa.C42.5",1,"Lzic","-0.290836745660078","0.856207586983299",-0.290836745660078,0.856207586983299,"0.890335269747029","0.00720473241552723","0.656821286098374","0.108983064056322","hyperlink",0.2,"AA","PC"
"alpha.AAA","H1",1,"Lgr4","-0.211282334102474","0.819057751646544",-0.211282334102474,0.819057751646544,"0.743410796876197","0.0554733375830857","0.761679638878753","0.0466156514986984","hyperlink",0.2,"BA","H"
"alpha.AAA","PC.aa.C30.0",1,"Gm4553","-0.260673676349411","0.829173393541673",-0.260673676349411,0.829173393541673,"0.893767716018048","0.00666685159247143","0.618600269318898","0.138634655616021","hyperlink",0.2,"BA","PC"
"alpha.AAA","PC.aa.C38.1",2,"Smim13;Gm4553","-0.580495079789717;-0.504163125172642","0.797333857902743;0.797333857902743",-0.542329102481179,0.797333857902743,"0.753708283957666;0.928388283827935","0.0503770129331786;0.00253539847347831","0.961425177309589;0.753045172970929","0.000549767905769836;0.0506971227810565","hyperlink",0.4,"BA","PC"
"Asn","alpha.AAA",1,"Gm4553","0.257192153023139","0.934329211973212",0.257192153023139,0.934329211973212,"0.460335923915911","0.298609075187766","0.710051312817867","0.0738305177697716","hyperlink",0.2,"AA","BA"
"Asn","His",1,"Fbl","-0.637324431407859","0.710843302925309",-0.637324431407859,0.710843302925309,"0.915081205756521","0.00385402671805745","0.857589770857141","0.0135938714652044","hyperlink",0.2,"AA","AA"
"Asn","lysoPC.a.C16.0",1,"Rapgef4","-0.31189396756024","0.785000604231835",-0.31189396756024,0.785000604231835,"0.750352730429281","0.05200827346129","0.815707191419947","0.0252896682301107","hyperlink",0.2,"AA","LPC"
